subject,experiment,session,slope,intercept,rmse,mu,sig,se,n_syncs,corr1,corr2
R1001P,FR1,0,0.9945773235761847,6.265023697426317,9.886851277934358,2.2737367544323207e-14,9.88685127793436,0.988685127793436,100,0.9974328098173385,0.3071649731109522
R1001P,FR2,0,0.9965188499250616,4.390140541417231,10.377175537669688,5.275069270282983e-13,10.37717553766969,1.037717553766969,100,0.9977885301971666,0.30432897433391204
R1001P,PAL1,0,0.993615507468665,7.375199631828373,9.720489307690965,1.9326762412674726e-14,9.720489307690965,0.9720489307690965,100,0.9977335052510518,0.3488194071164096
R1001P,FR1,1,0.9984362666254154,-3.8811374300861368,1.7073781350567567,-2.6261659513693303e-13,1.7073781350567567,0.17073781350567568,100,0.9999337478735959,0.34908349998500265
R1001P,PAL1,1,0.9966259735829527,4.1471225446982345,8.459647066715405,3.7630343285854906e-13,8.459647066715405,0.8459647066715406,100,0.998297470775704,0.3618112051298201
R1001P,FR2,1,0.2899361272966614,739.6824026898993,142.98719807360663,7.617018127348274e-14,142.98719807360663,14.298719807360664,100,0.28135477415483545,0.27432925471604896
R1002P,FR1,0,0.9955760218118749,5.305712586092471,10.100062609289289,-1.8417267710901798e-13,10.100062609289287,1.0100062609289286,100,0.9975751447275362,0.3959331447708464
R1002P,PAL1,2,0.9951946384170791,5.778734606384487,9.235897694772696,-1.261923898709938e-13,9.235897694772696,0.9235897694772696,100,0.9977275095039626,0.3195778470030071
R1002P,FR1,1,0.9950420990793415,5.91505055841373,9.768581665703303,-2.5920599000528453e-13,9.768581665703302,0.9768581665703302,100,0.9972986064443107,0.3593481485086743
R1002P,PAL1,0,0.9999514445407219,-5.451304700999498,1.5198546780218845,-2.9331204132176936e-13,1.5198546780218845,0.15198546780218844,100,0.9999347901138004,0.3312790993663082
R1002P,PAL1,1,0.9955699443587798,5.40673478350182,9.359081942324506,8.36735125631094e-13,9.359081942324506,0.9359081942324506,100,0.9982301844587851,0.3636881788943676
R1002P,FR2,0,0.992926681214843,8.156907156496361,10.00484071255859,6.036771083017811e-13,10.004840712558584,1.0004840712558585,100,0.9975181839754951,0.370051732086476
