subject,subject_alias,experiment,original_experiment,session,original_session,system_version
TJ030,,pyFR,,0,,1.0
TJ030,,pyFR,,1,,1.0
TJ030,,pyFR,,2,,1.0
TJ030,,pyFR,,3,,1.0
TJ031,,pyFR,,0,,1.0
TJ031,,pyFR,,1,,1.0
TJ031,,pyFR,,2,,1.0
TJ031,,pyFR,,3,,1.0
TJ032,,pyFR,,0,,1.0
TJ032,,pyFR,,1,,1.0
TJ032,,pyFR,,2,,1.0
TJ032,,pyFR,,3,,1.0
TJ033,,pyFR,,0,,1.0
TJ033,,pyFR,,1,,1.0
TJ034,,pyFR,,0,,1.0
TJ034,,pyFR,,1,,1.0
TJ035,,pyFR,,0,,1.0
TJ035,,pyFR,,1,,1.0
TJ036,,pyFR,,0,,1.0
TJ036,,pyFR,,1,,1.0
TJ037,,pyFR,,0,,1.0
TJ037,,pyFR,,1,,1.0
TJ037,,pyFR,,2,,1.0
TJ038,,pyFR,,0,,1.0
TJ038,,pyFR,,1,,1.0
TJ038,,pyFR,,2,,1.0
TJ038,,pyFR,,0,,1.0
TJ038,,pyFR,,1,,1.0
TJ039,,pyFR,,0,,1.0
TJ039,,pyFR,,1,,1.0
TJ039,,pyFR,,2,,1.0
TJ039,,pyFR,,3,,1.0
TJ039,,pyFR,,4,,1.0
TJ039,,pyFR,,5,,1.0
TJ039,,pyFR,,6,,1.0
TJ039,,pyFR,,7,,1.0
TJ040,,pyFR,,0,,1.0
TJ040,,pyFR,,0,,1.0
TJ041,,pyFR,,0,,1.0
TJ041,,pyFR,,1,,1.0
TJ041,,pyFR,,2,,1.0
TJ041,,pyFR,,3,,1.0
TJ041,,pyFR,,0,,1.0
TJ041,,pyFR,,1,,1.0
TJ041,,pyFR,,2,,1.0
TJ041,,pyFR,,3,,1.0
TJ041,,pyFR,,4,,1.0
TJ042,,pyFR,,0,,1.0
TJ042,,pyFR,,1,,1.0
TJ042,,pyFR,,2,,1.0
TJ043,,pyFR,,0,,1.0
TJ043,,pyFR,,1,,1.0
TJ043,,pyFR,,2,,1.0
TJ044,,pyFR,,0,,1.0
TJ044,,pyFR,,1,,1.0
TJ045,,pyFR,,1,,1.0
TJ045,,pyFR,,2,,1.0
TJ047,,pyFR,,0,,1.0
TJ047,,pyFR,,1,,1.0
TJ047,,pyFR,,2,,1.0
TJ048,,pyFR,,0,,1.0
TJ048,,pyFR,,1,,1.0
TJ048,,pyFR,,2,,1.0
TJ049,,pyFR,,0,,1.0
TJ049,,pyFR,,1,,1.0
TJ050,,pyFR,,0,,1.0
TJ050,,pyFR,,1,,1.0
TJ050,,pyFR,,2,,1.0
TJ051,,pyFR,,0,,1.0
TJ051,,pyFR,,1,,1.0
TJ051,,pyFR,,2,,1.0
TJ051,,pyFR,,3,,1.0
TJ051,,pyFR,,4,,1.0
TJ052,,pyFR,,0,,1.0
TJ053,,pyFR,,1,,1.0
TJ053,,pyFR,,0,,1.0
TJ054,,pyFR,,0,,1.0
TJ054,,pyFR,,1,,1.0
TJ054,,pyFR,,2,,1.0
TJ055,,pyFR,,0,,1.0
TJ055,,pyFR,,1,,1.0
TJ056,,pyFR,,0,,1.0
TJ057,,pyFR,,0,,1.0
TJ057,,pyFR,,1,,1.0
TJ057,,pyFR,,2,,1.0
TJ058,,pyFR,,0,,1.0
TJ059,,pyFR,,0,,1.0
TJ060,,pyFR,,0,,1.0
TJ060,,pyFR,,1,,1.0
TJ060,,pyFR,,2,,1.0
TJ061,,pyFR,,0,,1.0
TJ062,,pyFR,,0,,1.0
TJ062,,pyFR,,1,,1.0
TJ064,,pyFR,,0,,1.0
TJ064,,pyFR,,1,,1.0
TJ064,,pyFR,,0,,1.0
TJ065,,pyFR,,0,,1.0
TJ065,,pyFR,,1,,1.0
TJ066,,pyFR,,0,,1.0
TJ066,,pyFR,,1,,1.0
TJ068,,pyFR,,0,,1.0
TJ068,,pyFR,,1,,1.0
TJ069,,pyFR,,0,,1.0
TJ069,,pyFR,,1,,1.0
TJ069,,pyFR,,0,,1.0
TJ069,,pyFR,,1,,1.0
TJ071,,pyFR,,0,,1.0
TJ072,,pyFR,,0,,1.0
TJ073,,pyFR,,0,,1.0
TJ073,,pyFR,,1,,1.0
TJ073,,pyFR,,2,,1.0
TJ074,,pyFR,,0,,1.0
TJ074,,pyFR,,1,,1.0
TJ074,,pyFR,,2,,1.0
TJ075,,pyFR,,0,,1.0
TJ075,,pyFR,,1,,1.0
TJ075,,pyFR,,2,,1.0
TJ077,,pyFR,,0,,1.0
TJ077,,pyFR,,1,,1.0
TJ078,,pyFR,,0,,1.0
TJ078,,pyFR,,0,,1.0
TJ079,,pyFR,,0,,1.0
TJ079,,pyFR,,1,,1.0
TJ079,,pyFR,,2,,1.0
TJ079,,pyFR,,3,,1.0
TJ079,,pyFR,,4,,1.0
TJ080,,pyFR,,0,,1.0
TJ080,,pyFR,,1,,1.0
TJ081,,pyFR,,0,,1.0
TJ082,,pyFR,,0,,1.0
TJ083,,pyFR,,0,,1.0
UP001,,pyFR,,0,,1.0
UP001,,pyFR,,1,,1.0
UP001,,pyFR,,2,,1.0
UP001,,pyFR,,3,,1.0
UP002,,pyFR,,0,,1.0
UP002,,pyFR,,1,,1.0
UP003,,pyFR,,1,,1.0
UP003,,pyFR,,2,,1.0
UP003,,pyFR,,3,,1.0
UP004,,pyFR,,0,,1.0
UP004,,pyFR,,1,,1.0
UP004,,pyFR,,2,,1.0
UP004,,pyFR,,3,,1.0
UP005,,pyFR,,0,,1.0
UP005,,pyFR,,1,,1.0
UP005,,pyFR,,2,,1.0
UP005,,pyFR,,3,,1.0
UP006,,pyFR,,0,,1.0
UP006,,pyFR,,1,,1.0
UP006,,pyFR,,2,,1.0
UP007,,pyFR,,1,,1.0
UP007,,pyFR,,2,,1.0
UP008,,pyFR,,0,,1.0
UP008,,pyFR,,1,,1.0
UP011,,pyFR,,0,,1.0
UP011,,pyFR,,1,,1.0
UP011,,pyFR,,2,,1.0
UP016,,pyFR,,0,,1.0
UP017,,pyFR,,0,,1.0
UP017,,pyFR,,1,,1.0
UP017,,pyFR,,2,,1.0
UP017,,pyFR,,3,,1.0
UP019,,pyFR,,0,,1.0
UP019,,pyFR,,1,,1.0
UP020,,pyFR,,0,,1.0
UP020,,pyFR,,1,,1.0
UP020,,pyFR,,2,,1.0
UP021,,pyFR,,0,,1.0
UP021,,pyFR,,1,,1.0
UP021,,pyFR,,2,,1.0
UP022,,pyFR,,0,,1.0
UP022,,pyFR,,1,,1.0
UP024,,pyFR,,0,,1.0
UP024,,pyFR,,1,,1.0
UP024,,pyFR,,2,,1.0
UP028,,pyFR,,0,,1.0
UP029,,pyFR,,0,,1.0
UP034,,pyFR,,0,,1.0
UP034,,pyFR,,1,,1.0
UP036,,pyFR,,0,,1.0
UP037,,pyFR,,0,,1.0
