subject,subject_alias,experiment,original_experiment,session,original_session
TJ042,,pyFR,,0,
TJ042,,pyFR,,1,
TJ042,,pyFR,,2,
TJ043,,pyFR,,0,
TJ043,,pyFR,,1,
TJ043,,pyFR,,2,
TJ044,,pyFR,,0,
TJ044,,pyFR,,1,
TJ045,,pyFR,,1,
TJ045,,pyFR,,2,
TJ047,,pyFR,,0,
TJ047,,pyFR,,1,
TJ047,,pyFR,,2,
TJ048,,pyFR,,0,
TJ048,,pyFR,,1,
TJ048,,pyFR,,2,
TJ049,,pyFR,,0,
TJ049,,pyFR,,1,
TJ050,,pyFR,,0,
TJ050,,pyFR,,1,
TJ050,,pyFR,,2,
TJ051,,pyFR,,0,
TJ051,,pyFR,,1,
TJ051,,pyFR,,2,
TJ051,,pyFR,,3,
TJ051,,pyFR,,4,
TJ052,,pyFR,,0,
TJ053,,pyFR,,1,
TJ053,,pyFR,,0,
TJ054,,pyFR,,0,
TJ054,,pyFR,,1,
TJ054,,pyFR,,2,
TJ055,,pyFR,,0,
TJ056,,pyFR,,0,
TJ057,,pyFR,,0,
TJ057,,pyFR,,1,
TJ057,,pyFR,,2,
TJ058,,pyFR,,0,
TJ059,,pyFR,,0,
TJ060,,pyFR,,0,
TJ060,,pyFR,,1,
TJ060,,pyFR,,2,
TJ061,,pyFR,,0,
TJ062,,pyFR,,0,
TJ062,,pyFR,,1,
TJ064,,pyFR,,0,
TJ064,,pyFR,,1,
TJ064,,pyFR,,0,
TJ065,,pyFR,,0,
TJ065,,pyFR,,1,
TJ066,,pyFR,,0,
TJ066,,pyFR,,1,
TJ068,,pyFR,,0,
TJ068,,pyFR,,1,
TJ069,,pyFR,,0,
TJ069,,pyFR,,1,
TJ069,,pyFR,,0,
TJ069,,pyFR,,1,
TJ071,,pyFR,,0,
TJ072,,pyFR,,0,
TJ073,,pyFR,,0,
TJ073,,pyFR,,1,
TJ073,,pyFR,,2,
TJ074,,pyFR,,0,
TJ074,,pyFR,,1,
TJ074,,pyFR,,2,
TJ075,,pyFR,,0,
TJ075,,pyFR,,1,
TJ075,,pyFR,,2,
TJ077,,pyFR,,0,
TJ077,,pyFR,,1,
TJ078,,pyFR,,0,
TJ078,,pyFR,,0,
TJ079,,pyFR,,0,
TJ079,,pyFR,,1,
TJ079,,pyFR,,2,
TJ079,,pyFR,,3,
TJ079,,pyFR,,4,
TJ080,,pyFR,,0,
TJ080,,pyFR,,1,
TJ081,,pyFR,,0,
UP001,,pyFR,,0,
UP001,,pyFR,,1,
UP001,,pyFR,,2,
UP001,,pyFR,,3,
UP002,,pyFR,,0,
UP002,,pyFR,,1,
UP003,,pyFR,,1,
UP003,,pyFR,,2,
UP003,,pyFR,,3,
UP004,,pyFR,,0,
UP004,,pyFR,,1,
UP004,,pyFR,,2,
UP004,,pyFR,,3,
UP005,,pyFR,,0,
UP005,,pyFR,,1,
UP005,,pyFR,,2,
UP005,,pyFR,,3,
UP006,,pyFR,,0,
UP006,,pyFR,,1,
UP006,,pyFR,,2,
UP007,,pyFR,,1,
UP007,,pyFR,,2,
UP008,,pyFR,,0,
UP008,,pyFR,,1,
UP011,,pyFR,,0,
UP011,,pyFR,,1,
UP011,,pyFR,,2,
UP016,,pyFR,,0,
UP017,,pyFR,,0,
UP017,,pyFR,,1,
UP017,,pyFR,,2,
UP017,,pyFR,,3,
UP019,,pyFR,,0,
UP019,,pyFR,,1,
UP020,,pyFR,,0,
UP020,,pyFR,,1,
UP020,,pyFR,,2,
UP021,,pyFR,,0,
UP021,,pyFR,,1,
UP021,,pyFR,,2,
UP022,,pyFR,,0,
UP022,,pyFR,,1,
UP024,,pyFR,,0,
UP024,,pyFR,,1,
UP024,,pyFR,,2,
UP028,,pyFR,,0,
UP029,,pyFR,,0,
UP034,,pyFR,,0,
UP034,,pyFR,,1,
