subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1024E,R1024E,YC2,,1,1,0,0,0
R1024E,R1024E_1,YC2,,2,0,0,0,0
R1024E,R1024E_2,YC2,,3,1,0,0,0
R1024E,R1024E_1,catFR1,,0,0,1,0,0
R1024E,R1024E_1,catFR2,,0,0,1,0,0
R1024E,R1024E_1,catFR2,,1,1,1,0,0
R1025P,R1025P,PS1,PS,0,0,1,0,0
R1025P,R1025P,YC1,,0,0,0,0,0
R1026D,R1026D,FR1,,0,0,1,0,0
R1026D,R1026D,FR2,,0,0,1,0,0
R1026D,R1026D,FR2,,1,1,1,0,0
R1026D,R1026D,YC1,,0,0,0,0,0
R1026D,R1026D,YC2,,0,0,0,0,0
R1026D,R1026D,YC2,,1,1,0,0,0
R1026D,R1026D,catFR1,,0,0,1,0,0
R1026D,R1026D,catFR2,,0,0,1,0,0
R1026D,R1026D,catFR2,,1,1,1,0,0
R1026D,R1026D,catFR2,,2,2,1,0,0
R1027J,R1027J,FR1,,0,,1,0,0
R1027J,R1027J,FR2,,0,0,1,0,0
R1027J,R1027J,FR2,,1,1,1,0,0
R1027J,R1027J,FR2,,2,2,1,0,0
R1027J,R1027J,YC2,,0,0,0,0,0
R1027J,R1027J,YC2,,1,1,0,0,0
R1027J,R1027J,YC2,,2,2,0,0,0
R1027J,R1027J,YC2,,3,3,0,0,0
R1028M,R1028M,FR2,,0,0,1,0,0
R1028M,R1028M,FR2,,1,1,1,0,0
R1028M,R1028M,FR2,,2,2,1,0,0
R1028M,R1028M,PAL1,,0,0,1,0,0
R1028M,R1028M,PAL1,,1,1,1,0,0
R1028M,R1028M,PAL2,,0,0,1,0,0
R1028M,R1028M,catFR1,,0,0,1,0,0
R1028M,R1028M,catFR1,,1,1,1,0,0
R1028M,R1028M,catFR2,,0,0,1,0,0
R1029W,R1029W,catFR2,,0,0,1,0,0
R1029W,R1029W,catFR2,,1,1,1,0,0
R1030J,R1030J,FR1,,0,0,1,0,0
R1030J,R1030J,FR2,,0,0,1,0,0
R1030J,R1030J,FR2,,1,1,1,0,0
R1030J,R1030J,FR2,,2,2,1,0,0
R1030J,R1030J,FR2,,3,3,1,0,0
R1030J,R1030J,FR2,,4,4,1,0,0
R1030J,R1030J,FR2,,5,5,1,0,0
R1030J,R1030J,FR2,,6,6,1,0,0
R1030J,R1030J,PS1,PS,0,1,1,0,0
R1030J,R1030J,YC1,,0,0,0,0,0
R1030J,R1030J,YC2,,0,0,0,0,0
R1030J,R1030J,YC2,,1,1,0,0,0
R1030J,R1030J,YC2,,2,2,0,0,0
R1030J,R1030J,YC2,,3,3,0,0,0
R1031M,R1031M,FR1,,0,0,1,0,0
R1031M,R1031M,FR2,,0,0,1,0,0
R1031M,R1031M,PAL1,,0,0,1,0,0
R1031M,R1031M,PAL2,,0,0,1,0,0
R1031M,R1031M,PAL2,,1,1,1,0,0
R1031M,R1031M,catFR1,,0,0,1,0,0
R1031M,R1031M,catFR2,,0,0,1,0,0
R1032D,R1032D,FR1,,0,0,1,0,0
R1032D,R1032D,YC1,,0,0,0,0,0
R1032D,R1032D,YC2,,0,0,0,0,0
R1032D,R1032D,YC2,,1,1,0,0,0
R1032D,R1032D,catFR1,,0,0,1,0,0
R1032D,R1032D,catFR1,,1,1,1,0,0
R1033D,R1033D,FR1,,0,,1,0,0
R1033D,R1033D,FR2,,0,0,1,0,0
R1033D,R1033D,FR2,,1,1,1,0,0
R1033D,R1033D,FR2,,2,2,1,0,0
R1033D,R1033D,YC1,,0,0,0,0,0
R1033D,R1033D,YC2,,0,0,0,0,0
R1033D,R1033D,YC2,,1,1,0,0,0
R1034D,R1034D,FR1,,0,,1,0,0
R1034D,R1034D,FR1,,1,,1,0,0
R1034D,R1034D,FR1,,2,,1,0,0
R1034D,R1034D,PS1,PS,0,2,1,0,0
R1034D,R1034D,PS1,PS,1,5,1,0,0
R1034D,R1034D,PS1,PS,2,8,1,0,0
R1034D,R1034D,PS3,PS,0,3,1,0,0
R1034D,R1034D,PS3,PS,1,9,1,0,0
R1034D,R1034D,PS3,PS,2,12,1,0,0
R1034D,R1034D,YC1,,0,0,0,0,0
R1034D,R1034D,YC1,,1,1,0,0,0
R1035M,R1035M,FR1,,0,,1,0,0
R1035M,R1035M,FR2,,0,0,1,0,0
R1035M,R1035M,PAL1,,0,0,1,0,0
R1035M,R1035M,catFR1,,0,0,1,0,0
R1036M,R1036M,FR1,,0,0,1,0,0
R1036M,R1036M,FR2,,0,0,1,0,0
R1036M,R1036M,PAL1,,0,0,1,0,0
R1036M,R1036M,PAL2,,0,0,1,0,0
R1036M,R1036M,catFR1,,0,0,1,0,0
R1036M,R1036M,catFR2,,0,0,1,0,0
R1036M,R1036M,catFR2,,1,1,1,0,0
R1036M,R1036M,catFR2,,2,2,1,0,0
R1037D,R1037D,YC1,,0,0,0,0,0
R1037D,R1037D,YC1,,1,1,0,0,0
R1037D,R1037D,YC1,,2,2,0,0,0
R1037D,R1037D,YC2,,0,0,0,0,0
R1037D,R1037D,YC2,,1,1,0,0,0
R1037D,R1037D,YC2,,2,2,0,0,0
R1037D,R1037D,YC2,,3,4,0,0,0
R1037D,R1037D,YC2,,4,5,0,0,0
R1039M,R1039M,FR1,,0,0,1,0,0
R1039M,R1039M,catFR1,,0,0,1,0,0
R1039M,R1039M,catFR2,,0,0,1,0,0
R1041M,R1041M,YC1,,0,0,0,0,0
R1041M,R1041M,YC1,,1,1,0,0,0
R1041M,R1041M,YC1,,2,2,0,0,0
R1041M,R1041M,catFR1,,0,0,1,0,0
R1041M,R1041M,catFR2,,0,0,1,0,0
R1042M,R1042M,FR1,,0,0,1,0,0
R1042M,R1042M,FR2,,0,0,1,0,0
R1042M,R1042M,PAL1,,0,0,1,0,0
