subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration,offset_ms
R1395M,R1395M,catFR1,,6,,0.0,1.0,1009.0769230769231,0.0,-509.0769230769231,1009.0769230769231,0.5,1000.0
R1396T,R1396T,FR1,,1,,0.0,1.0,1007.9230769230769,0.0,-507.9230769230769,1007.9230769230769,0.5,1000.0
R1396T,R1396T,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1397D,R1397D,FR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1397D,R1397D,FR1,,1,,0.0001,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1397D,R1397D,FR6,,0,,0.0,6.0,1005.8461538461538,0.0,-505.84615384615387,1005.8461538461538,0.5,1000.0
R1397D,R1397D,catFR1,,1,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1397D,R1397D,catFR1,,3,,0.0,1.0,1010.2307692307693,0.0,-510.2307692307692,1010.2307692307693,0.5,1000.0
R1398J,R1398J,FR1,,1,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5,1000.0
R1398J,R1398J,FR1,,3,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5,1000.0
R1398J,R1398J,catFR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1398J,R1398J,catFR1,,1,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5,1000.0
R1400N,R1400N,catFR1,CatFR1,0,,0.0,1.0,1002.6153846153846,0.0,-502.61538461538464,1002.6153846153846,0.5,1000.0
R1400N,R1400N,catFR1,CatFR1,1,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5,1000.0
R1400N,R1400N,catFR1,CatFR1,2,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5,1000.0
R1400N,R1400N,catFR1,CatFR1,3,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5,1000.0
R1400N,R1400N,catFR6,CatFR6,2,,0.0,6.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5,1000.0
R1400N,R1400N,catFR6,CatFR6,3,,0.0,6.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5,1000.0
R1400N,R1400N,catFR6,CatFR6,7,,0.0061,6.0,1007.1428571428571,0.0,-507.14285714285717,1007.1428571428571,0.5,1000.0
R1400N,R1400N,catFR6,CatFR6,8,,0.0,6.0,1006.6,0.0,-506.6,1006.6,0.5,1000.0
R1401J,R1401J,FR1,,0,,0.0,1.0,1009.2307692307693,0.0,-509.2307692307692,1009.2307692307693,0.5,1000.0
R1401J,R1401J,catFR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1401J,R1401J,catFR1,,1,,0.0,1.0,1002.7692307692307,0.0,-502.7692307692308,1002.7692307692307,0.5,1000.0
R1401J,R1401J,catFR1,,2,,0.0,1.0,1001.3076923076923,0.0,-501.3076923076923,1001.3076923076923,0.5,1000.0
R1403N,R1403N,catFR1,CatFR1,0,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5,1000.0
R1403N,R1403N,catFR1,CatFR1,1,,0.0,1.0,1007.6363636363636,0.0,-507.6363636363636,1007.6363636363636,0.5,1000.0
R1403N,R1403N,catFR1,CatFR1,2,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5,1000.0
R1403N,R1403N,catFR1,CatFR1,4,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5,1000.0
R1403N,R1403N,catFR6,CatFR6,0,,0.0,6.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1404E,R1404E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1404E,R1404E,FR1,,1,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5,1000.0
R1404E,R1404E,catFR1,,1,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1404E,R1404E,catFR6,CatFR6,0,,0.0,6.0,1008.4230769230769,0.0,-508.4230769230769,1008.4230769230769,0.5,1000.0
R1405E,R1405E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1405E,R1405E,catFR1,,0,,0.0,1.0,1005.0769230769231,0.0,-505.0769230769231,1005.0769230769231,0.5,1000.0
R1405E,R1405E,catFR1,,1,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5,1000.0
R1405E,R1405E_1,FR1,,1,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5,1000.0
R1405E,R1405E_1,catFR1,,2,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5,1000.0
R1406M,R1406M,FR1,,3,,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5,1000.0
R1406M,R1406M,FR1,,4,,0.0,1.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5,1000.0
R1406M,R1406M,catFR1,,1,,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5,1000.0
R1406M,R1406M,catFR1,,2,,0.0,1.0,1010.0,0.0,-510.0,1010.0,0.5,1000.0
R1406M,R1406M,catFR1,,3,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1408N,R1408N,catFR1,CatFR1,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1408N,R1408N,catFR1,CatFR1,1,,0.0,1.0,1008.8076923076923,0.0,-508.8076923076923,1008.8076923076923,0.5,1000.0
R1409D,R1409D,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1409D,R1409D,FR1,,2,,0.0,1.0,1002.6153846153846,0.0,-502.61538461538464,1002.6153846153846,0.5,1000.0
R1409D,R1409D,FR6,,0,,0.0,6.0,1005.2692307692307,0.0,-505.2692307692308,1005.2692307692307,0.5,1000.0
R1409D,R1409D,FR6,,2,,0.0,6.0,1008.3461538461538,0.0,-508.34615384615387,1008.3461538461538,0.5,1000.0
R1409D,R1409D,FR6,,3,,0.0,6.0,1004.4615384615385,0.0,-504.46153846153845,1004.4615384615385,0.5,1000.0
R1409D,R1409D,FR6,,9,,0.0,6.0,1009.35,0.0,-509.35,1009.35,0.5,1000.0
R1409D,R1409D,catFR1,,1,,0.0,1.0,1009.0,0.0,-509.0,1009.0,0.5,1000.0
R1409D,R1409D,catFR1,,2,,0.0,1.0,1006.1538461538462,0.0,-506.15384615384613,1006.1538461538462,0.5,1000.0
R1409D,R1409D,catFR1,,3,,0.0,1.0,1003.7692307692307,0.0,-503.7692307692308,1003.7692307692307,0.5,1000.0
R1409D,R1409D,catFR6,,0,,0.0,6.0,1005.6923076923077,0.0,-505.6923076923077,1005.6923076923077,0.5,1000.0
R1412M,R1412M,FR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5,1000.0
R1412M,R1412M,catFR1,,0,,0.0,1.0,1010.3076923076923,0.0,-510.3076923076923,1010.3076923076923,0.5,1000.0
R1412M,R1412M,catFR1,,1,,0.0,1.0,1002.8333333333334,0.0,-502.8333333333333,1002.8333333333334,0.5,1000.0
R1412M,R1412M,catFR1,,2,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1414E,R1414E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1414E,R1414E,catFR1,,0,,0.0,1.0,1006.2307692307693,0.0,-506.2307692307692,1006.2307692307693,0.5,1000.0
R1415T,R1415T,FR1,,1,,0.0,1.0,1005.0,0.0,-505.0,1005.0,0.5,1000.0
R1415T,R1415T,catFR1,,0,,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5,1000.0
R1416T,R1416T,FR1,,0,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5,1000.0
R1416T,R1416T,FR1,,1,,0.0,1.0,1011.5384615384615,0.0,-511.53846153846155,1011.5384615384615,0.5,1000.0
R1420T,R1420T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5,1000.0
R1420T,R1420T,FR1,,1,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1420T,R1420T,catFR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5,1000.0
R1421M,R1421M,FR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1421M,R1421M,catFR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1421M,R1421M,catFR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1422T,R1422T,catFR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1423E,R1423E,FR1,,0,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5,1000.0
R1423E,R1423E,catFR1,,0,,0.0,1.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5,1000.0
R1425D,R1425D,TICL_FR,,0,,0.0,6.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5,1000.0
R1425D,R1425D,TICL_FR,,3,,0.0,6.0,1007.4666666666667,0.0,-507.46666666666664,1007.4666666666667,0.5,1000.0
R1425D,R1425D,TICL_FR,,7,,0.0,6.0,1007.7307692307693,0.0,-507.7307692307692,1007.7307692307693,0.5,1000.0
R1426N,R1426N,catFR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5,1000.0
R1426N,R1426N,catFR1,,1,,0.0,1.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5,1000.0
R1427T,R1427T,FR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5,1000.0
R1427T,R1427T,FR1,,1,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5,1000.0
R1427T,R1427T,FR1,,2,,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5,1000.0
R1427T,R1427T,TICL_FR,,0,,0.0,6.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5,1000.0
R1427T,R1427T,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1428T,R1428T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5,1000.0
R1431J,R1431J,FR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1433E,R1433E,FR1,,0,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5,1000.0
R1433E,R1433E,catFR1,,0,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5,1000.0
R1436J,R1436J,FR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5,1000.0
R1436J,R1436J,catFR1,,6,,0.0,1.0,1011.3076923076923,0.0,-511.3076923076923,1011.3076923076923,0.5,1000.0
R1438M,R1438M,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1441T,R1441T,FR1,,0,,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5,1000.0
R1441T,R1441T,FR1,,1,,0.0,1.0,1006.8461538461538,0.0,-506.84615384615387,1006.8461538461538,0.5,1000.0
R1441T,R1441T,FR1,,2,,0.0,1.0,1008.7692307692307,0.0,-508.7692307692308,1008.7692307692307,0.5,1000.0
R1441T,R1441T,catFR1,,0,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5,1000.0
R1441T,R1441T,catFR1,,1,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5,1000.0
R1443D,R1443D,FR1,,4,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5,1000.0
R1443D,R1443D,FR1,,5,,0.0,1.0,1002.8461538461538,0.0,-502.84615384615387,1002.8461538461538,0.5,1000.0
R1443D,R1443D,catFR1,,2,,0.0,1.0,1005.5384615384615,0.0,-505.53846153846155,1005.5384615384615,0.5,1000.0
R1444D,R1444D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1007.8846153846154,0.0,-507.88461538461536,1007.8846153846154,0.5,1000.0
R1444D,R1444D,TICL_catFR,TICL_CatFR,2,,0.0,6.0,1007.3333333333334,0.0,-507.3333333333333,1007.3333333333334,0.5,1000.0
R1444D,R1444D,TICL_catFR,TICL_CatFR,3,,0.0,6.0,1005.5769230769231,0.0,-505.5769230769231,1005.5769230769231,0.5,1000.0
R1444D,R1444D,catFR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5,1000.0
R1444D,R1444D,catFR1,,2,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5,1000.0
R1444D,R1444D,catFR1,,3,,0.0,1.0,1004.5384615384615,0.0,-504.53846153846155,1004.5384615384615,0.5,1000.0
R1445E,R1445E,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1446T,R1446T,FR1,,0,,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5,1000.0
R1447M,R1447M,FR1,,1,,0.0,1.0,1006.25,0.0,-506.25,1006.25,0.5,1000.0
R1447M,R1447M,catFR1,,0,,0.0,1.0,1006.7,0.0,-506.7,1006.7,0.5,1000.0
R1448T,R1448T,FR1,,0,,0.0,1.0,1009.9230769230769,0.0,-509.9230769230769,1009.9230769230769,0.5,1000.0
R1448T,R1448T,catFR1,,0,,0.0,1.0,1011.2307692307693,0.0,-511.2307692307692,1011.2307692307693,0.5,1000.0
R1449T,R1449T,FR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1449T,R1449T,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1449T,R1449T,catFR1,,0,,0.0,1.0,1012.7692307692307,0.0,-512.7692307692307,1012.7692307692307,0.5,1000.0
R1449T,R1449T,catFR1,,1,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5,1000.0
R1450D,R1450D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1004.8181818181819,0.0,-504.8181818181818,1004.8181818181819,0.5,1000.0
R1450D,R1450D,catFR1,,1,,0.0,1.0,1012.6923076923077,0.0,-512.6923076923077,1012.6923076923077,0.5,1000.0
R1450D,R1450D,catFR1,,3,,0.0,1.0,1011.3076923076923,0.0,-511.3076923076923,1011.3076923076923,0.5,1000.0
R1450D,R1450D,catFR1,,4,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1454M,R1454M,FR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1454M,R1454M,catFR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1456D,R1456D,catFR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1456D,R1456D,catFR1,,1,,0.0,1.0,1006.8461538461538,0.0,-506.84615384615387,1006.8461538461538,0.5,1000.0
R1456D,R1456D,catFR1,,2,,0.0,1.0,1007.5384615384615,0.0,-507.53846153846155,1007.5384615384615,0.5,1000.0
R1456D,R1456D,catFR1,,3,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1456D,R1456D,catFR6,CatFR6,0,,0.0,6.0,1008.6538461538462,0.0,-508.65384615384613,1008.6538461538462,0.5,1000.0
R1457T,R1457T,FR1,,0,,0.0,1.0,1004.3076923076923,0.0,-504.3076923076923,1004.3076923076923,0.5,1000.0
R1457T,R1457T,FR1,,1,,0.0,1.0,1009.0769230769231,0.0,-509.0769230769231,1009.0769230769231,0.5,1000.0
R1457T,R1457T,catFR1,,0,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5,1000.0
R1459M,R1459M,FR1,,0,,0.0,1.0,1010.2307692307693,0.0,-510.2307692307692,1010.2307692307693,0.5,1000.0
R1459M,R1459M,FR1,,6,,0.0,1.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5,1000.0
R1459M,R1459M,catFR1,,1,,0.0,1.0,1006.1818181818181,0.0,-506.1818181818182,1006.1818181818181,0.5,1000.0
R1460M,R1460M,FR1,,0,,0.0,1.0,1009.6153846153846,0.0,-509.61538461538464,1009.6153846153846,0.5,1000.0
R1461T,R1461T,FR1,,0,,0.0,1.0,1007.1428571428571,0.0,-507.14285714285717,1007.1428571428571,0.5,1000.0
R1461T,R1461T,catFR1,,0,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5,1000.0
R1461T,R1461T,catFR1,,1,,0.0,1.0,1004.8181818181819,0.0,-504.8181818181818,1004.8181818181819,0.5,1000.0
R1461T,R1461T,catFR6,,1,,0.0,6.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5,1000.0
R1461T,R1461T,catFR6,,2,,0.0,6.0,1007.3461538461538,0.0,-507.34615384615387,1007.3461538461538,0.5,1000.0
R1461T,R1461T,catFR6,,3,,0.0,6.0,1009.5,0.0,-509.5,1009.5,0.5,1000.0
R1462M,R1462M,FR1,,0,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5,1000.0
R1462M,R1462M,catFR1,,0,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5,1000.0
R1463E,R1463E,FR6,,0,,0.0,6.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5,1000.0
R1463E,R1463E_1,FR1,,0,0.0,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5,1000.0
R1463E,R1463E_1,FR1,,1,1.0,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5,1000.0
R1463E,R1463E_1,FR6,,1,1.0,0.0,6.0,1006.9,0.0,-506.9,1006.9,0.5,1000.0
R1463E,R1463E_1,catFR1,,0,0.0,0.0,1.0,1013.9230769230769,0.0,-513.9230769230769,1013.9230769230769,0.5,1000.0
R1463E,R1463E_1,catFR1,,1,1.0,0.0,1.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5,1000.0
R1463E,R1463E_1,catFR6,,1,1.0,0.0,6.0,1007.7307692307693,0.0,-507.7307692307692,1007.7307692307693,0.5,1000.0
R1465D,R1465D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5,1000.0
R1465D,R1465D,catFR1,,0,,0.0,1.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5,1000.0
R1465D,R1465D,catFR1,,1,,0.0,1.0,1006.3846153846154,0.0,-506.38461538461536,1006.3846153846154,0.5,1000.0
R1465D,R1465D,catFR1,,2,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1465D,R1465D,catFR1,,3,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1466J,R1466J,FR1,,0,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5,1000.0
R1466J,R1466J,FR6,,1,,0.0021,6.0,1008.3461538461538,0.0,-508.34615384615387,1008.3461538461538,0.5,1000.0
R1466J,R1466J,catFR1,,0,,0.0016,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1467M,R1467M,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1467M,R1467M,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5,1000.0
R1468J,R1468J,catFR1,,1,,0.0,1.0,1008.3,0.0,-508.3,1008.3,0.5,1000.0
R1468J,R1468J,catFR1,,2,,0.0,1.0,1008.0,0.0,-508.0,1008.0,0.5,1000.0
R1468J,R1468J,catFR1,,3,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5,1000.0
R1468J,R1468J,catFR1,,5,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5,1000.0
R1468J,R1468J_1,catFR1,,6,6.0,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5,1000.0
R1468J,R1468J_1,catFR1,,7,7.0,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5,1000.0
R1468J,R1468J_1,catFR1,,8,8.0,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5,1000.0
R1469D,R1469D,catFR1,,1,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5,1000.0
R1469D,R1469D,catFR1,,3,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5,1000.0
R1469D,R1469D,catFR1,,4,,0.0,1.0,1007.0833333333334,0.0,-507.0833333333333,1007.0833333333334,0.5,1000.0
R1472T,R1472T,catFR1,,0,,0.0,1.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5,1000.0
R1472T,R1472T,catFR1,,1,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5,1000.0
R1473J,R1473J,catFR1,,0,,0.0,1.0,1008.0,0.0,-508.0,1008.0,0.5,1000.0
R1473J,R1473J,catFR1,,2,,0.0,1.0,1009.0,0.0,-509.0,1009.0,0.5,1000.0
R1474T,R1474T,catFR1,,0,,0.0,1.0,1004.3076923076923,0.0,-504.3076923076923,1004.3076923076923,0.5,1000.0
R1474T,R1474T,catFR1,,1,,0.0,1.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5,1000.0
R1474T,R1474T,catFR1,,2,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5,1000.0
R1474T,R1474T,catFR6,CatFR6,0,,0.0,6.0,1008.4230769230769,0.0,-508.4230769230769,1008.4230769230769,0.5,1000.0
R1475J,R1475J,PS4_catFR5,PS4_CatFR5,1,1.0,0.0,4.1,1007.9230769230769,0.0,-507.9230769230769,1007.9230769230769,0.5,1000.0
R1475J,R1475J,catFR1,,0,,0.0,1.0,1012.6923076923077,0.0,-512.6923076923077,1012.6923076923077,0.5,1000.0
R1475J,R1475J,catFR1,,1,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5,1000.0
R1475J,R1475J,catFR1,,2,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5,1000.0
R1476J,R1476J,PS4_catFR5,PS4_CatFR5,1,1.0,0.0,4.1,1006.5769230769231,0.0,-506.5769230769231,1006.5769230769231,0.5,1000.0
R1476J,R1476J,PS4_catFR5,PS4_CatFR5,2,2.0,0.0,4.1,1006.6538461538462,0.0,-506.65384615384613,1006.6538461538462,0.5,1000.0
R1476J,R1476J,PS4_catFR5,PS4_CatFR5,4,4.0,0.0,4.1,1008.2692307692307,0.0,-508.2692307692308,1008.2692307692307,0.5,1000.0
R1476J,R1476J,catFR1,,0,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5,1000.0
R1476J,R1476J,catFR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5,1000.0
R1476J,R1476J,catFR1,,2,,0.0,1.0,1002.7692307692307,0.0,-502.7692307692308,1002.7692307692307,0.5,1000.0
R1476J,R1476J,catFR1,,3,,0.0,1.0,1003.0769230769231,0.0,-503.0769230769231,1003.0769230769231,0.5,1000.0
