subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration,offset_ms
R1377M,R1377M,catFR1,,6,,0.0009,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72,1000.0
R1384J,R1384J,FR6,,1,,0.0,6.0,1005.9230769230769,0.0,-505.9230769230769,1005.9230769230769,0.5,1000.0
R1384J,R1384J,PS5_catFR,PS5_CatFR,0,0.0,0.0,1.0,1009.0,0.0,-509.0,1009.0,0.5,1000.0
R1384J,R1384J,catFR6,,0,,0.0,6.0,1006.0,0.0,-506.0,1006.0,0.5,1000.0
R1384J,R1384J,catFR6,,1,,0.0,6.0,1004.5,0.0,-504.5,1004.5,0.5,1000.0
R1389J,R1389J,catFR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1389J,R1389J,catFR1,,1,,0.0,1.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5,1000.0
R1389J,R1389J,catFR1,,2,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5,1000.0
R1389J,R1389J,catFR1,,3,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5,1000.0
R1395M,R1395M,FR1,,1,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5,1000.0
R1395M,R1395M,FR1,,2,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5,1000.0
R1395M,R1395M,FR1,,3,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5,1000.0
R1395M,R1395M,FR1,,4,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5,1000.0
R1395M,R1395M,FR1,,5,,0.0,1.0,1008.0769230769231,0.0,-508.0769230769231,1008.0769230769231,0.5,1000.0
R1395M,R1395M,catFR1,,0,,0.0,1.0,1010.3076923076923,0.0,-510.3076923076923,1010.3076923076923,0.5,1000.0
R1395M,R1395M,catFR1,,1,,0.0,1.0,1006.7692307692307,0.0,-506.7692307692308,1006.7692307692307,0.5,1000.0
R1395M,R1395M,catFR1,,2,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5,1000.0
R1395M,R1395M,catFR1,,3,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5,1000.0
R1395M,R1395M,catFR1,,4,,0.0,1.0,1011.5384615384615,0.0,-511.53846153846155,1011.5384615384615,0.5,1000.0
R1395M,R1395M,catFR1,,5,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5,1000.0
